sp_common_name_uppercase_IBP,sp_scientific_name_IBP,species_4code_IBP,species_6code_IBP,species_4code_LPBBC,BOTW_citation,BOTW_reference,sp_weight_g,weight_reference,habitat_guild_BOTW,food_item_BOTW,nest_guild_BOTW,forage_behavior_BOTW,conservation_status_BOTW,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,sp_common_name_uppercase_NHIC,sp_scientific_name_NHIC,sp_common_name_lowercase_NHIC,sp_common_name_noun_NHIC,sp_common_name_sentence_NHIC,sp_author_NHIC,sp_french_name_NHIC,sp_common_name_AOS,sp_french_name_AOS,sp_order_AOS,sp_family_AOS,sp_subfamily_name_AOS,sp_genus_AOS,sp_scientific_name_AOS,status_introduced_AOS,sp_common_name_PFN,sp_Ojibwe_name_PFN,sp_name_meaning_PFN,sp_latin_name_PFN,Breeding.Biome,Winter.Biome,Family,bird.group,Migrate,AI,native,popest,popestlci,popestuci,first_year_popest,last_year_popest,Pop.source,Trajectory_data_source,Trajectory_firstyear,Trajectory_lastyear,Loss_med,Loss_lci,Loss_uci,Loss_lqrt,Loss_uqrt,PopUsCa,PopLC95,PopUC95,TimeAdj.meanlog,TimeAdj.sdlog,Distance Adj.,Pair Adj.
Gray Catbird,Dumetella carolinensis,GRCA,DUMCAR,GRCA,"Smith et al., 2020","Smith, R. J., Hatch, M. I., Cimprich, D. A., & Moore, F. R. (2020). Gray Catbird (Dumetella carolinensis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.grycat.01species_shared.bow.project_name",35.68,Long Point Bird Observatory,open woodlands,insects,shrub,ground forager,low concern,Omnivore,ground,forager,Gray Catbird,Dumetella carolinensis,gray catbird,gray catbird,Gray catbird,"(Linnaeus, 1766)",Moqueur chat,Gray Catbird,Moqueur chat,Passeriformes,Mimidae,,Dumetella,Dumetella carolinensis,,,,,,Eastern Forest,Mexico-Central America,Mimidae,landbird,M,other,native,28700211,26885945,30804790,2006,2015,PIF0615,BBS7017,1970,2017,-748542.1412,-2385990.751,805912.1651,-1308625.667,-201772.8452,28700211.15,26885944.5,30804790,0.424676515,0.013687414,125,2
Green Heron,Butorides virescens,GRHE,BUTVIR,GRHE,"Davis Jr. and Kushlan, 2020","Davis Jr., W. E., & Kushlan, J. A. (2020). Green Heron (Butorides virescens), version 1.0. Birds of the World. https://doi.org/10.2173/bow.grnher.01species_shared.bow.project_name",241,Long Point Bird Observatory,marshes,fish,tree,stalking,common bird in steep decline,Crustaceovore,water,ambusher,Green Heron,Butorides virescens,green heron,green heron,Green heron,"(Linnaeus, 1758)",Héron vert,Green Heron,Héron vert,Pelecaniformes,Ardeidae,,Butorides,Butorides virescens,,,,,,Wetland,Widespread,Ardeidae,waterbird,M,other,native,772671,689060,862103,2006,2015,PIF0615,BBS7017,1970,2017,941979.0444,817552.7588,1070626.977,898654.9583,985896.3321,772670.619,689059.575,862103.375,0.098627595,0.008045328,200,1.5
Hairy Woodpecker,Dryobates villosus,HAWO,DRYVIL,HAWO,"Jackson et al., 2020","Jackson, J. A., Ouellet, H. R., & Jackson, B. J. (2020). Hairy Woodpecker (Dryobates villosus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.haiwoo.01species_shared.bow.project_name",69.55,Birds of the World,forests,insects,cavity,bark forager,low concern,Insectivore,bark,gleaner,Hairy Woodpecker,Dryobates villosus,hairy woodpecker,hairy woodpecker,Hairy woodpecker,"(Linnaeus, 1766)",Pic chevelu,Hairy Woodpecker,Pic chevelu,Piciformes,Picidae,Picinae,Dryobates,Dryobates villosus,,Hairy Woodpecker,Pa-pa'-se,"Cracking, from the noise the bird makes in pecking at trees. Picoides arcticus and Sphyrapicus varius occur, but are not distinguished from Picus Villosns",Picus pubescens,Forest Generalist,Temperate North America,Picidae,landbird,R,other,native,8681068,7874994,9508689,2006,2015,PIF0615,BBS7017,1970,2017,-3096167.204,-3779136.476,-2478796.686,-3329311.323,-2872675.464,8681068.233,7874993.5,9508688.5,0.249314168,0.004190679,125,2
House Finch,Haemorhous mexicanus,HOFI,HAEMEX,HOFI,"Badyaev et al., 2020","Badyaev, A. V., Belloni, V., & Hill, G. E. (2020). House Finch (Haemorhous mexicanus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.houfin.01species_shared.bow.project_name",21.7,Long Point Bird Observatory,towns,seeds,tree,ground forager,low concern,Frugivore,ground,gleaner,House Finch,Haemorhous mexicanus,house finch,house finch,House finch,"(Müller, 1776)",Roselin familier,House Finch,Roselin familier,Passeriformes,Fringillidae,Carduelinae,Haemorhous,Haemorhous mexicanus,,,,,,Habitat Generalist,Widespread,Fringillidae,landbird,R,other,native,33246130,29546633,37992529,2006,2015,PIF0615,BBS7017,1970,2017,-2183693.583,-6518744.309,1624152.097,-3574123.952,-819799.6318,33246130.07,29546633,37992528.5,0.106257564,0.012699766,125,1.75
Hooded Merganser,Lophodytes cucullatus,HOME,LOPCUC,HOME,"Dugger et al., 2020","Dugger, B. D., Dugger, K. M., & Fredrickson, L. H. (2020). Hooded Merganser (Lophodytes cucullatus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.hoomer.01species_shared.bow.project_name",680,Birds of the World,lakes and ponds,fish,cavity,surface dive,low concern,Piscivore,freshwater,diver,Hooded Merganser,Lophodytes cucullatus,hooded merganser,hooded merganser,Hooded merganser,"(Linnaeus, 1758)",Harle couronné,Hooded Merganser,Harle couronné,Anseriformes,Anatidae,Anatinae,Lophodytes,Lophodytes cucullatus,,Hooded Sheldrake,Gi-ni-ko-ne'-shib,Sharp-billed duck,Lophodytes cucullatus,Wetland,Temperate North America,Anatidae,waterfowl,M,other,native,485000,363750,606250,2004,2006,SeDu07,BBS7017,1970,2017,-745842.7555,-1096336.677,-488241.8015,-855318.4162,-645439.4023,Missing,,,,,,
Indigo Bunting,Passerina cyanea,INBU,PASCYA,INBU,"Payne, 2020","Payne, R. B. (2020). Indigo Bunting (Passerina cyanea), version 1.0. Birds of the World. https://doi.org/10.2173/bow.indbun.01species_shared.bow.project_name",14.26,Birds of the World,open woodlands,insects,shrub,foliage gleaner,low concern,Omnivore,lower-canopy,forager,Indigo Bunting,Passerina cyanea,indigo bunting,indigo bunting,Indigo bunting,"(Linnaeus, 1766)",Passerin indigo,Indigo Bunting,Passerin indigo,Passeriformes,Cardinalidae,,Passerina,Passerina cyanea,,,,,,Eastern Forest,Mexico-Central America,Cardinalidae,landbird,M,other,native,77494167,73235841,82041052,2006,2015,PIF0615,BBS7017,1970,2017,31485545.8,26846871.73,36179743.59,29841978.44,33097888.23,77494166.61,73235840.5,82041051.5,0.334016374,0.015511967,125,2
Killdeer,Charadrius vociferus,KILL,CHAVOC,KILL,"Jackson and Jackson, 2020","Jackson, B. J., & Jackson, J. A. (2020). Killdeer (Charadrius vociferus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.killde.01species_shared.bow.project_name",58.63,Long Point Bird Observatory,grasslands,insects,ground,ground forager,low concern,Insectivore,ground,gleaner,Killdeer,Charadrius vociferus,killdeer,killdeer,Killdeer,"(Linnaeus, 1758)",Pluvier kildir,Killdeer,Pluvier kildir,Charadriiformes,Charadriidae,Charadriinae,Charadrius,Charadrius vociferus,,Killdeer,Mus-ko-de'-chi-ji'-twish-ki-wen',big prairie sandpiper,Oxyechus vociferus,Habitat Generalist,Widespread,Charadriidae,shorebird,M,other,native,2000000,800000,5000000,2011,2013,Shoreb12,BBS7017,1970,2017,1040696.862,0.561577308,2162056.544,666954.9784,1415029.206,Missing,,,,,,
Least Bittern,Botaurus exilis,LEBI,BOTEXI,LEBI,"Poole et al., 2020","Poole, A. F., Lowther, P. E., Gibbs, J. P., Reid, F. A., & Melvin, S. M. (2020). Least Bittern (Ixobrychus exilis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.leabit.01species_shared.bow.project_name",92.42,Long Point Bird Observatory,marshes,fish,ground,stalking,low concern,Piscivore,water,ambusher,Least Bittern,Ixobrychus exilis,least bittern,least bittern,Least bittern,"(Gmelin, 1789)",Petit Blongios,Least Bittern,Petit Blongios,Pelecaniformes,Ardeidae,,Ixobrychus,Ixobrychus exilis,,,,,,Wetland,Widespread,Ardeidae,waterbird,M,other,native,131773,66196,217720,2006,2015,PIF0615,BBS7017,1970,2017,-33842.43549,-88287.4324,-2668.341178,-49909.49119,-20955.62235,131772.637,66195.85,217720.175,0.290920543,0.026400578,125,2
Least Flycatcher,Empidonax minimus,LEFL,EMPMIN,LEFL,"Tarof and Briskie, 2020","Tarof, S., & Briskie, J. V. (2020). Least Flycatcher (Empidonax minimus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.leafly.01species_shared.bow.project_name",10.06,Long Point Bird Observatory,forests,insects,tree,flycatching,common bird in steep decline,Insectivore,air,sallier,Least Flycatcher,Empidonax minimus,least flycatcher,least flycatcher,Least flycatcher,"(Baird and Baird, 1843)",Moucherolle tchébec,Least Flycatcher,Moucherolle tchébec,Passeriformes,Tyrannidae,Fluvicolinae,Empidonax,Empidonax minimus,,,,,,Eastern Forest,Mexico-Central America,Tyrannidae,landbird,M,other,native,27244220,24465739,30286260,2006,2015,PIF0615,BBS7017,1970,2017,31461126.11,27285888.62,36051548.25,30008696.81,32967790.84,27244220.04,24465738.5,30286260,0.087097838,0.009253083,125,2
Mallard,Anas platyrhynchos,MALL,ANAPLA,MALL,"Drilling et al., 2020","Drilling, N., Titman, R. D., & McKinney, F. (2020). Mallard (Anas platyrhynchos), version 1.0. Birds of the World. https://doi.org/10.2173/bow.mallar3.01species_shared.bow.project_name",1113,Birds of the World,lakes and ponds,omnivore,ground,dabbler,low concern,Granivore,ground,gleaner,Mallard,Anas platyrhynchos,mallard,mallard,Mallard,"(Linnaeus, 1758)",Canard colvert,Mallard,Canard colvert,Anseriformes,Anatidae,Anatinae,Anas,Anas platyrhynchos,,Mallard,I-ni'-ni-shib,man duck. Shib is the ending meaning Duck. The female mallard is called Wab'-i-ni-ni-shib' which means white mallard,,Wetland,Widespread,Anatidae,waterfowl,M,other,native,11477600,10557400,12397900,2013,2017,FWS1317,FWS7017,1970,2017,-2031438.348,-4193861.069,-96565.82041,-2737642.35,-1342687.44,Missing,,,,,,
Magnolia Warbler,Setophaga magnolia,MAWA,SETMAG,MAWA,"Dunn and Hall, 2020","Dunn, E. H., & Hall, G. A. (2020). Magnolia Warbler (Setophaga magnolia), version 1.0. Birds of the World. https://doi.org/10.2173/bow.magwar.01species_shared.bow.project_name",8.65,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Insectivore,lower-canopy,gleaner,Magnolia Warbler,Setophaga magnolia,magnolia warbler,magnolia warbler,Magnolia warbler,"(Wilson, 1811)",Paruline à tête cendrée,Magnolia Warbler,Paruline à tête cendrée,Passeriformes,Parulidae,,Setophaga,Setophaga magnolia,,,,,,Boreal Forest,Mexico-Central America,Parulidae,landbird,M,other,native,38757259,33706369,44351863,2006,2015,PIF0615,BBS7017,1970,2017,-9625429.979,-16715589.75,-3953675.465,-11927486.15,-7556023.99,38757258.66,33706368.5,44351862.5,0.128230092,0.011292731,125,2
Marsh Wren,Cistothorus palustris,MAWR,CISPAL,MAWR,"Kroodsma and Verner, 2020","Kroodsma, D. E., & Verner, J. (2020). Marsh Wren (Cistothorus palustris), version 1.0. Birds of the World. https://doi.org/10.2173/bow.marwre.01species_shared.bow.project_name",11.52,Long Point Bird Observatory,marshes,insects,shrub,ground forager,low concern,Insectivore,marsh,gleaner,Marsh Wren,Cistothorus palustris,marsh wren,marsh wren,Marsh wren,"(Wilson, 1810)",Troglodyte des marais,Marsh Wren,Troglodyte des marais,Passeriformes,Troglodytidae,,Cistothorus,Cistothorus palustris,,Marsh wren,Mus-ko'-zi-bi-ne 'shi,"Marsh bird, not distinguished from the two wrens or swamp sparrow - Muskozi bineshi",Telmatodytes palustris,Wetland,Temperate North America,Troglodytidae,landbird,M,other,native,10846904,8009975,14414465,2006,2015,PIF0615,BBS7017,1970,2017,-7736661.809,-11814194.38,-4705166.659,-8982393.385,-6603144.212,10846903.9,8009974.5,14414465,0.865362685,0.017776852,125,2
Mourning Dove,Zenaida macroura,MODO,ZENMAC,MODO,"Otis et al., 2020","Otis, D. L., Schulz, J. H., Miller, D., Mirarchi, R. E., & Baskett, T. S. (2020). Mourning Dove (Zenaida macroura), version 1.0. Birds of the World. https://doi.org/10.2173/bow.moudov.01species_shared.bow.project_name",131.52,Long Point Bird Observatory,open woodlands,seeds,tree,ground forager,low concern,Granivore,ground,gleaner,Mourning Dove,Zenaida macroura,mourning dove,mourning dove,Mourning dove,"(Linnaeus, 1758)",Tourterelle triste,Mourning Dove,Tourterelle triste,Columbiformes,Columbidae,,Zenaida,Zenaida macroura,,,,,,Habitat Generalist,Widespread,Columbidae,landbird,M,other,native,133072464,123233806,143006188,2006,2015,PIF0615,BBS7017,1970,2017,22343283.75,13783135.51,31436579.55,19386864.86,25298364.26,133072463.8,123233806,143006188,0.316423592,0.022409558,200,1.75
Northern House Wren,Troglodytes aedon,NHWR,TROAED,HOWR,"Johnson, 2020","Johnson, L. S. (2020). House Wren (Troglodytes aedon), version 1.0. Birds of the World. https://doi.org/10.2173/bow.houwre.01species_shared.bow.project_name",10.67,Birds of the World,scrub,insects,cavity,foliage gleaner,low concern,Insectivore,lower-canopy,gleaner,House Wren,Troglodytes aedon,house wren,house wren,House wren,"(Vieillot, 1809)",Troglodyte familier,House Wren,Troglodyte familier,Passeriformes,Troglodytidae,,Troglodytes,Troglodytes aedon,,House wren,O-du-na'-mis-sug-ud-da-we'-shi ,"Making a big noise for its size, not distinguished from winter wren",Troglodytes aedon,Forest Generalist,Temperate North America,Troglodytidae,landbird,M,other,native,43318358,39758949,47473572,2006,2015,PIF0615,BBS7017,1970,2017,-6013778.814,-10036719.82,-2356280.051,-7353318.35,-4734259.512,Missing,,,,,,
Northern Cardinal,Cardinalis cardinalis,NOCA,CARCAI,NOCA,"Halkin et al., 2021","Halkin, S. L., Shustack, D. P., DeVries, M. S., Jawor, J. M., & Linville, S. U. (2021). Northern Cardinal (Cardinalis cardinalis), version 2.0. Birds of the World. https://doi.org/10.2173/bow.norcar.02species_shared.bow.project_name",42.03,Long Point Bird Observatory,open woodlands,seeds,shrub,ground forager,low concern,Omnivore,ground,forager,Northern Cardinal,Cardinalis cardinalis,northern cardinal,northern cardinal,Northern cardinal,"(Linnaeus, 1758)",Cardinal rouge,Northern Cardinal,Cardinal rouge,Passeriformes,Cardinalidae,,Cardinalis,Cardinalis cardinalis,,,,,,Eastern Forest,Temperate North America,Cardinalidae,landbird,R,other,native,118228958,107977674,129207132,2006,2015,PIF0615,BBS7017,1970,2017,-11511445.41,-17729540.31,-5578104.101,-13610481.42,-9435178.934,118228958.3,107977674,129207131.5,0.866690425,0.028147857,200,2
Northern Flicker,Colaptes auratus,NOFL,COLAUT,YSFL,"Wiebe and Moore, 2023","Wiebe, K. L., & Moore, W. S. (2023). Northern Flicker (Colaptes auratus), version 2.0. Birds of the World. https://doi.org/10.2173/bow.norfli.02species_shared.bow.project_name",127.12,Birds of the World,open woodlands,insects,cavity,ground forager,low concern,Insectivore,ground,gleaner,Northern Flicker,Colaptes auratus,northern flicker,northern flicker,Northern flicker,"(Linnaeus, 1758)",Pic flamboyant,Northern Flicker,Pic flamboyant,Piciformes,Picidae,Picinae,Colaptes,Colaptes auratus,,Yellow-shafted flicker,Mo-ning'-gua-ne',Bird with the dirty coloured wings,Colaptes auratus,Forest Generalist,Widespread,Picidae,landbird,M,other,native,10997056,10030079,12029437,2006,2015,PIF0615,BBS7017,1970,2017,7961296.059,6849653.556,9122472.269,7572993.114,8352821.463,10997055.7,10030078.5,12029436.5,0.263105839,0.045989788,200,1.25
Northern Mockingbird,Mimus polyglottos,NOMO,MIMPOL,NOMO,"Farnsworth et al., 2020","Farnsworth, G., Londono, G. A., Martin, J. U., Derrickson, K. C., & Breitwisch, R. (2020). Northern Mockingbird (Mimus polyglottos), version 1.0. Birds of the World. https://doi.org/10.2173/bow.normoc.01species_shared.bow.project_name",48.05,Long Point Bird Observatory,towns,omnivore,shrub,ground forager,low concern,Omnivore,ground,forager,Northern Mockingbird,Mimus polyglottos,northern mockingbird,northern mockingbird,Northern mockingbird,"(Linnaeus, 1758)",Moqueur polyglotte,Northern Mockingbird,Moqueur polyglotte,Passeriformes,Mimidae,,Mimus,Mimus polyglottos,,,,,,Habitat Generalist,Temperate North America,Mimidae,landbird,M,other,native,33748673,30589410,37047818,2006,2015,PIF0615,BBS7017,1970,2017,10508038.39,7913822.776,13219745.83,9603651.306,11437382.37,33748673.11,30589410,37047817.5,0.099038838,0.013748544,200,1.5
Northern Rough-winged Swallow,Stelgidopteryx serripennis,NRWS,STESER,NRWS,"De Jong, 2020","De Jong, M. J. (2020). Northern Rough-winged Swallow (Stelgidopteryx serripennis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.nrwswa.01species_shared.bow.project_name",16.15,Birds of the World,rivers and streams,insects,burrow,aerial forager,low concern,Insectivore,air,screener,Northern Rough-winged Swallow,Stelgidopteryx serripennis,northern rough-winged swallow,northern rough-winged swallow,Northern rough-winged swallow,"(Audubon, 1838)",Hirondelle à ailes hérissées,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Passeriformes,Hirundinidae,Hirundininae,Stelgidopteryx,Stelgidopteryx serripennis,,,,,,Habitat Generalist,Widespread,Hirundinidae,landbird,M,AI,native,19956056,15363114,26977637,2006,2015,PIF0615,BBS7017,1970,2017,3927098.669,1950256.101,6264861.751,3220706.244,4694796.695,19956055.95,15363114,26977637,0.303402591,0.013563681,125,1.75
Northern Saw-whet Owl,Aegolius acadicus,NSWO,AEGACA,NSWO,"Rasmussen et al., 2020","Rasmussen, J. L., Sealy, S. G., & Cannings, R. J. (2020). Northern Saw-whet Owl (Aegolius acadicus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.nswowl.01species_shared.bow.project_name",104.25,Birds of the World,forests,mammals,cavity,aerial dive,low concern,Carnivore,ground,hawker,Northern Saw-whet Owl,Aegolius acadicus,northern saw-whet owl,northern saw-whet owl,Northern saw-whet owl,"(Gmelin, 1788)",Petite Nyctale,Northern Saw-whet Owl,Petite Nyctale,Strigiformes,Strigidae,,Aegolius,Aegolius acadicus,,,,,,Forest Generalist,Temperate North America,Strigidae,landbird,M,other,native,2000000,500000,3500000,2007,2009,ACAD,CBC7017,1970,2017,-1351854.884,-2943058.295,-316621.931,-1804762.745,-957152.7845,Missing,,,,,,
Orchard Oriole,Icterus spurius,OROR,ICTSPU,OROR,"Scharf and Kren, 2022","Scharf, W. C., & Kren, J. (2022). Orchard Oriole (Icterus spurius), version 2.0. Birds of the World. https://doi.org/10.2173/bow.orcori.02species_shared.bow.project_name",21.17,Long Point Bird Observatory,open woodlands,insects,tree,foliage gleaner,low concern,Insectivore,upper-canopy,gleaner,Orchard Oriole,Icterus spurius,orchard oriole,orchard oriole,Orchard oriole,"(Linnaeus, 1766)",Oriole des vergers,Orchard Oriole,Oriole des vergers,Passeriformes,Icteridae,Icterinae,Icterus,Icterus spurius,,,,,,Eastern Forest,Mexico-Central America,Icteridae,landbird,M,other,native,10894813,9896563,11930180,2006,2015,PIF0615,BBS7017,1970,2017,4551645.762,3494192.558,5651655.434,4182952.909,4923404.014,10894813.27,9896562.5,11930180,0.099898312,0.00769728,125,1.75
Pied-billed Grebe,Podilymbus podiceps,PBGR,PODPOD,PBGR,"Muller and Storer, 2020","Muller, M. J., & Storer, R. W. (2020). Pied-billed Grebe (Podilymbus podiceps), version 1.0. Birds of the World. https://doi.org/10.2173/bow.pibgre.01species_shared.bow.project_name",416,Birds of the World,lakes and ponds,aquatic invertebrates,floating,surface dive,low concern,Insectivore,freshwater,diver,Pied-billed Grebe,Podilymbus podiceps,pied-billed grebe,pied-billed grebe,Pied-billed grebe,"(Linnaeus, 1758)",Grèbe à bec bigarré,Pied-billed Grebe,Grèbe à bec bigarré,Podicipediformes,Podicipedidae,,Podilymbus,Podilymbus podiceps,,Thick-Billed Grebe,Shin'-gi-bis,deformed,Podilymbus podiceps,Wetland,Widespread,Podicipedidae,waterbird,M,other,native,1138963,905996,1412585,2006,2015,PIF0615,BBS7017,1970,2017,-316527.816,-723216.2792,-30089.89251,-444441.9448,-209270.7381,1138962.713,905996.05,1412585.075,0.282039569,0.01985522,200,1.5
Pine Warbler,Setophaga pinus,PIWA,SETPIN,PIWA,"Rodewald et al., 2020","Rodewald, P. G., Withgott, J. H., & Smith, K. G. (2020). Pine Warbler (Setophaga pinus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.pinwar.01species_shared.bow.project_name",11.53,Long Point Bird Observatory,forests,insects,tree,bark forager,low concern,Insectivore,bark,gleaner,Pine Warbler,Setophaga pinus,pine warbler,pine warbler,Pine warbler,"(Linnaeus, 1776)",Paruline des pins,Pine Warbler,Paruline des pins,Passeriformes,Parulidae,,Setophaga,Setophaga pinus,,,,,,Eastern Forest,Temperate North America,Parulidae,landbird,M,other,native,13108682,11923661,14327429,2006,2015,PIF0615,BBS7017,1970,2017,-4543752.196,-6379468.241,-2950225.837,-5134314.657,-4003254.415,13108682.1,11923660.5,14327428.5,0.092765876,0.010964286,125,2
Prothonotary Warbler,Protonotaria citrea,PROW,PROCIT,PROW,"Petit, 2020","Petit, L. J. (2020). Prothonotary Warbler (Protonotaria citrea), version 1.0. Birds of the World. https://doi.org/10.2173/bow.prowar.01species_shared.bow.project_name",14.67,Birds of the World,forests,insects,cavity,foliage gleaner,declining,Insectivore,lower-canopy,gleaner,Prothonotary Warbler,Protonotaria citrea,prothonotary warbler,prothonotary warbler,Prothonotary warbler,"(Boddaert, 1783)",Paruline orangée,Prothonotary Warbler,Paruline orangée,Passeriformes,Parulidae,,Protonotaria,Protonotaria citrea,,,,,,Eastern Forest,Mexico-Central America,Parulidae,landbird,M,other,native,2069931,1633108,2645686,2006,2015,PIF0615,BBS7017,1970,2017,1278490,891442.2451,1711154.115,1141924.916,1420549.114,2069931.142,1633107.5,2645686,0.170661673,0.007759922,125,2
Rose-breasted Grosbeak,Pheucticus ludovicianus,RBGR,PHELUD,RBGR,"Wyatt and Francis, 2020","Wyatt, V. E., & Francis, C. M. (2020). Rose-breasted Grosbeak (Pheucticus ludovicianus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.robgro.01species_shared.bow.project_name",45.91,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Omnivore,upper-canopy,forager,Rose-breasted Grosbeak,Pheucticus ludovicianus,rose-breasted grosbeak,rose-breasted grosbeak,Rose-breasted grosbeak,"(Linnaeus, 1766)",Cardinal à poitrine rose,Rose-breasted Grosbeak,Cardinal à poitrine rose,Passeriformes,Cardinalidae,,Pheucticus,Pheucticus ludovicianus,,,,,,Eastern Forest,Widespread Neotropical,Cardinalidae,landbird,M,other,native,4715733,4058034,5474743,2006,2015,PIF0615,BBS7017,1970,2017,1965604.565,1416636.396,2584608.339,1774277.72,2162242.821,4715732.546,4058034,5474743,0.152079089,0.007135443,200,2
Red-breasted Nuthatch,Sitta canadensis,RBNU,SITCAN,RBNU,"Ghalambor and Martin, 2020","Ghalambor, C. K., & Martin, T. E. (2020). Red-breasted Nuthatch (Sitta canadensis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.rebnut.01species_shared.bow.project_name",10.48,Birds of the World,forests,insects,cavity,bark forager,low concern,Insectivore,bark,gleaner,Red-breasted Nuthatch,Sitta canadensis,red-breasted nuthatch,red-breasted nuthatch,Red-breasted nuthatch,"Linnaeus, 1766",Sittelle à poitrine rousse,Red-breasted Nuthatch,Sittelle à poitrine rousse,Passeriformes,Sittidae,Sittinae,Sitta,Sitta canadensis,,Red-bellied nuthatch ,Ki-ki-bi'-di-ko-me'-shi,"Imitation of song, some claim that this is another name for S. carolinensis",Sitta canadensis,Forest Generalist,Temperate North America,Sittidae,landbird,M,other,native,19689413,17772520,21658078,2006,2015,PIF0615,BBS7017,1970,2017,-8767892.306,-12561305.87,-5695489.405,-9961003.571,-7667907.083,19689413.19,17772520,21658078,0.218424232,0.008984852,125,1.75
Red-bellied Woodpecker,Melanerpes carolinus,RBWO,MELCAR,RBWO,"Miller et al., 2020","Miller, K. E., Leonard Jr., D. L., Shackelford, C. E., Brown, R. E., & Conner, R. N. (2020). Red-bellied Woodpecker (Melanerpes carolinus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.rebwoo.01species_shared.bow.project_name",72.54,Birds of the World,forests,insects,cavity,bark forager,low concern,Insectivore,bark,gleaner,Red-bellied Woodpecker,Melanerpes carolinus,red-bellied woodpecker,red-bellied woodpecker,Red-bellied woodpecker,"(Linnaeus, 1758)",Pic à ventre roux,Red-bellied Woodpecker,Pic à ventre roux,Piciformes,Picidae,Picinae,Melanerpes,Melanerpes carolinus,,,,,,Eastern Forest,Temperate North America,Picidae,landbird,R,other,native,15518241,14095781,16973039,2006,2015,PIF0615,BBS7017,1970,2017,-6477117.155,-7555175.867,-5469824.8,-6835596.233,-6122244.078,15518241.24,14095780.5,16973038.5,0.364972699,0.012239403,200,1.75
Red-eyed Vireo,Vireo olivaceus,REVI,VIROLI,REVI,"Cimprich et al., 2020","Cimprich, D. A., Moore, F. R., & Guilfoyle, M. P. (2020). Red-eyed Vireo (Vireo olivaceus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.reevir1.01species_shared.bow.project_name",17.29,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Insectivore,upper-canopy,gleaner,Red-eyed Vireo,Vireo olivaceus,red-eyed vireo,red-eyed vireo,Red-eyed vireo,"(Linnaeus, 1766)",Viréo aux yeux rouges,Red-eyed Vireo,Viréo aux yeux rouges,Passeriformes,Vireonidae,,Vireo,Vireo olivaceus,,,,,,Forest Generalist,South America,Vireonidae,landbird,M,other,native,130756817,121405110,141235333,2006,2015,PIF0615,BBS7017,1970,2017,-43805241.4,-53622217.41,-34563497.6,-47056909.56,-40543275.48,130756816.5,121405109.5,141235332.5,0.250511261,0.017879662,125,2
Red-headed Woodpecker,Melanerpes erythrocephalus,RHWO,MELERY,RHWO,"Frei et al., 2020","Frei, B., Smith, K. G., Withgott, J. H., Rodewald, P. G., Pyle, P., & Patten, M. A. (2020). Red-headed Woodpecker (Melanerpes erythrocephalus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.rehwoo.01species_shared.bow.project_name",70.78,Long Point Bird Observatory,open woodlands,omnivore,cavity,flycatching,declining,Insectivore,air,sallier,Red-headed Woodpecker,Melanerpes erythrocephalus,red-headed woodpecker,red-headed woodpecker,Red-headed woodpecker,"(Linnaeus, 1758)",Pic à tête rouge,Red-headed Woodpecker,Pic à tête rouge,Piciformes,Picidae,Picinae,Melanerpes,Melanerpes erythrocephalus,,Red-headed woodpecker,Pa'que-a-mo',The bird that breaks off pieces ,Melanerpes erythrocephalus,Eastern Forest,Temperate North America,Picidae,landbird,M,other,native,1802639,1587954,2066531,2006,2015,PIF0615,BBS7017,1970,2017,2438935.875,2062909.125,2843254.105,2303392.958,2577543.791,1802638.606,1587953.5,2066531,0.27695727,0.007585097,200,1.25
