uniqueID,sample,year,sitecode,species_4code_IBP,territories
1991_TMSL_TRES,1991_TMSL,1991,TMSL,TRES,2.5
1991_TMSL_AMWO,1991_TMSL,1991,TMSL,AMWO,2
1991_TMSL_GCFL,1991_TMSL,1991,TMSL,GCFL,2
1991_TMSL_YEWA,1991_TMSL,1991,TMSL,YEWA,2
1991_TMSL_BBCU,1991_TMSL,1991,TMSL,BBCU,1
1991_TMSL_BLJA,1991_TMSL,1991,TMSL,BLJA,1
1991_TMSL_CEDW,1991_TMSL,1991,TMSL,CEDW,1
1991_TMSL_CHSP,1991_TMSL,1991,TMSL,CHSP,1
1991_TMSL_EATO,1991_TMSL,1991,TMSL,EATO,1
1991_TMSL_FISP,1991_TMSL,1991,TMSL,FISP,1
1991_TMSL_MALL,1991_TMSL,1991,TMSL,MALL,1
1991_TMSL_NOCA,1991_TMSL,1991,TMSL,NOCA,1
1991_TMSL_SWSP,1991_TMSL,1991,TMSL,SWSP,1
1991_TMSL_NOFL,1991_TMSL,1991,TMSL,NOFL,0.5
1991_WPWC_NHWR,1991_WPWC,1991,WPWC,NHWR,20.5
1991_WPWC_COYE,1991_WPWC,1991,WPWC,COYE,8
1991_WPWC_CHSP,1991_WPWC,1991,WPWC,CHSP,5
1991_WPWC_EATO,1991_WPWC,1991,WPWC,EATO,5
1991_WPWC_BAOR,1991_WPWC,1991,WPWC,BAOR,4.5
1991_WPWC_RWBL,1991_WPWC,1991,WPWC,RWBL,4.5
1991_WPWC_EAWP,1991_WPWC,1991,WPWC,EAWP,3
1991_WPWC_FISP,1991_WPWC,1991,WPWC,FISP,2.5
1991_WPWC_SOSP,1991_WPWC,1991,WPWC,SOSP,2.5
1991_WPWC_BCCH,1991_WPWC,1991,WPWC,BCCH,2
1991_WPWC_GCFL,1991_WPWC,1991,WPWC,GCFL,2
1991_WPWC_GRCA,1991_WPWC,1991,WPWC,GRCA,2
1991_WPWC_MODO,1991_WPWC,1991,WPWC,MODO,2
1991_WPWC_BRTH,1991_WPWC,1991,WPWC,BRTH,1.5
1991_WPWC_EAKI,1991_WPWC,1991,WPWC,EAKI,1.5
1991_WPWC_AMRO,1991_WPWC,1991,WPWC,AMRO,1
1991_WPWC_BHCO,1991_WPWC,1991,WPWC,BHCO,1
1991_WPWC_BLJA,1991_WPWC,1991,WPWC,BLJA,1
1991_WPWC_CAWA,1991_WPWC,1991,WPWC,CAWA,1
1991_WPWC_CEDW,1991_WPWC,1991,WPWC,CEDW,1
1991_WPWC_CWWI,1991_WPWC,1991,WPWC,CWWI,1
1991_WPWC_NOFL,1991_WPWC,1991,WPWC,NOFL,1
1991_WPWC_TRES,1991_WPWC,1991,WPWC,TRES,1
