site_code,sample_year,species_code,breeding_territories
BGGR,2021,EAKI,2.5
BGGR,2021,EATO,7
BGGR,2021,FISP,12.5
BGGR,2021,MODO,2
BGGR,2021,NOFL,1
BGGR,2021,REVI,1
BGGR,2021,RWBL,14
BGGR,2021,WITU,0.5
BGGR,2021,YWAR,18.5
DCJS,1991,AMCR,1
DCJS,1991,CHSP,5.5
DCJS,1991,EUST,2
DCJS,1991,FISP,1
DCJS,1991,HOWR,4.5
DCJS,1991,NOFL,1
DCJS,1991,NOMO,1
DCJS,1991,RWBL,1
DCJS,1991,SOSP,3
DCJS,1991,TRES,6
DCJS,1995,BHCO,2
DCJS,1995,BRTH,2
DCJS,1995,CHSP,8
DCJS,1995,FISP,4
DCJS,1995,KILL,2
DCJS,1995,NOMO,1
DCJS,1995,NRWS,1
DCJS,1995,RWBL,1
DCJS,1995,SOSP,11
DCJS,1995,TRES,6
DCJS,1999,AMRO,1
DCJS,1999,BHCO,5
DCJS,1999,CHSP,18
DCJS,1999,EWPW,2
DCJS,1999,FISP,10
DCJS,1999,KILL,0.5
DCJS,1999,SOSP,35
DCJS,1999,TRES,6.5
DCJS,1999,WISN,2
DCJS,1999,YWAR,1.5
DCJS,2000,AMRO,1
DCJS,2000,CEDW,1
DCJS,2000,CHSP,9.5
DCJS,2000,FISP,5
DCJS,2000,KILL,1.5
DCJS,2000,RWBL,2
DCJS,2000,SOSP,9
DCJS,2000,TRES,6
DCJS,2000,YWAR,3.5
DCJS,2004,AMRO,1
DCJS,2004,BRTH,1
DCJS,2004,CHSP,6
DCJS,2004,COGR,1
DCJS,2004,EAKI,2
DCJS,2004,EATO,1.5
DCJS,2004,FISP,4
DCJS,2004,HOFI,1
DCJS,2004,HOWR,1
DCJS,2004,MODO,2
DCJS,2004,NOMO,1
DCJS,2004,RWBL,2
DCJS,2004,SOSP,8.5
DCJS,2004,TRES,2
DCJS,2004,YWAR,1.5
DCJS,2009,AMRO,3
DCJS,2009,BGGN,1
DCJS,2009,BHCO,3
DCJS,2009,BRTH,3
DCJS,2009,CHSP,29
DCJS,2009,EATO,2.5
DCJS,2009,EAWP,0.5
DCJS,2009,EUST,1.5
DCJS,2009,EWPW,1
DCJS,2009,FISP,10
DCJS,2009,GRCA,2
DCJS,2009,HOFI,1
DCJS,2009,HOWR,2.5
DCJS,2009,KILL,1
DCJS,2009,MODO,2
DCJS,2009,NOMO,2.5
DCJS,2009,SOSP,7.5
DCJS,2009,TRES,2.5
DCJS,2009,YWAR,8.5
DCJS,2010,AMRO,0.5
DCJS,2010,BGGN,1
DCJS,2010,BHCO,2
DCJS,2010,BRTH,1.5
DCJS,2010,CHSP,19.5
DCJS,2010,EATO,1
DCJS,2010,EUST,1
DCJS,2010,FISP,8.5
DCJS,2010,GRCA,0.5
DCJS,2010,HOWR,1
DCJS,2010,KILL,1.5
DCJS,2010,MODO,1.5
DCJS,2010,NOMO,1
DCJS,2010,RWBL,1
DCJS,2010,SOSP,6.5
DCJS,2010,TRES,4
DCJS,2010,YWAR,8.5
DCJS,2012,AMRO,1
DCJS,2012,AMWO,1
DCJS,2012,BHCO,1
DCJS,2012,BRTH,1
DCJS,2012,CHSP,17
DCJS,2012,COGR,1
DCJS,2012,COYE,1
DCJS,2012,CWWI,1
DCJS,2012,EAKI,2
DCJS,2012,EATO,3
DCJS,2012,EWPW,4
DCJS,2012,FISP,9
DCJS,2012,GCFL,0.5
DCJS,2012,KILL,3
DCJS,2012,MODO,1
DCJS,2012,RWBL,1.5
DCJS,2012,SOSP,10.5
DCJS,2012,TRES,5
DCJS,2012,WISN,1
DCJS,2012,YWAR,8
DCJS,2016,BGGN,1
DCJS,2016,BRTH,3
DCJS,2016,CHSP,17.5
DCJS,2016,COYE,0.5
DCJS,2016,EAKI,2
DCJS,2016,EATO,3
DCJS,2016,FISP,10
DCJS,2016,GCFL,1
DCJS,2016,GRCA,0.25
DCJS,2016,KILL,0.25
DCJS,2016,RWBL,1
DCJS,2016,SOSP,4
DCJS,2016,TRES,1
DCJS,2016,YWAR,3.5
DCJS,2018,AMRO,2
DCJS,2018,BGGN,1
DCJS,2018,BRTH,3
DCJS,2018,CHSP,14
DCJS,2018,EAKI,1
DCJS,2018,EATO,4
DCJS,2018,EUST,2
DCJS,2018,EWPW,2
DCJS,2018,FISP,9
DCJS,2018,HOWR,1
DCJS,2018,MODO,1
DCJS,2018,NOCA,1
DCJS,2018,RWBL,1
DCJS,2018,SOSP,3
DCJS,2018,TRES,1
DCJS,2018,YWAR,8.5
DCJS,2021,AMWO,2
DCJS,2021,BCCH,2
DCJS,2021,BGGN,1
DCJS,2021,BHCO,2
DCJS,2021,BRTH,3
DCJS,2021,CEDW,1
DCJS,2021,CHSP,17.5
DCJS,2021,COGR,1
DCJS,2021,COYE,0.25
DCJS,2021,EAKI,1.5
DCJS,2021,EATO,6
DCJS,2021,FISP,16
DCJS,2021,HOWR,0.25
DCJS,2021,MODO,1
DCJS,2021,RWBL,2
DCJS,2021,TRES,2
DCJS,2021,YWAR,8
DCSD,1991,BAOR,0.5
DCSD,1991,CHSP,2
DCSD,1991,EAKI,3.5
DCSD,1991,FISP,1
DCSD,1991,HOWR,1
DCSD,1991,RWBL,4
DCSD,1991,TRES,3.5
DCSD,1992,BAOR,2
DCSD,1992,CHSP,1.5
DCSD,1992,EAKI,4
DCSD,1992,EUST,0.25
DCSD,1992,FISP,2
DCSD,1992,HOWR,2
DCSD,1992,RWBL,2
DCSD,1992,SOSP,0.25
DCSD,1992,SPSA,3
DCSD,1992,TRES,6
DCSD,1996,CHSP,1
DCSD,1996,EAKI,2.5
DCSD,1996,FISP,0.5
DCSD,1996,SOSP,3.5
DCSD,1996,SPSA,0.5
DCSD,1996,TRES,6.5
DCSD,2001,CHSP,5.5
DCSD,2001,EAKI,3
DCSD,2001,FISP,0.5
DCSD,2001,NOMO,0.5
DCSD,2001,SOSP,1
DCSD,2001,TRES,3
DCSD,2008,AMGO,0.5
DCSD,2008,AMRO,1
DCSD,2008,BHCO,1
DCSD,2008,CEDW,2
DCSD,2008,CHSP,6.5
DCSD,2008,EAKI,2
DCSD,2008,EAWP,2
DCSD,2008,EUST,0.25
DCSD,2008,FISP,6
DCSD,2008,HOWR,4
DCSD,2008,KILL,2
DCSD,2008,NOMO,1
DCSD,2008,RWBL,5
DCSD,2008,SOSP,0.25
DCSD,2008,TRES,4
DCSD,2008,YWAR,1
DCSD,2013,BAOR,1
DCSD,2013,BRTH,0.5
DCSD,2013,CHSP,7
DCSD,2013,EAKI,1
DCSD,2013,EATO,0.5
DCSD,2013,EAWP,2
DCSD,2013,EWPW,1
DCSD,2013,FISP,8
DCSD,2013,HOWR,6
DCSD,2013,NOMO,1
DCSD,2013,RWBL,4
DCSD,2013,TRES,4
DCSD,2013,WAVI,1
DCSD,2013,YWAR,1
DCSD,2016,AMRO,1
DCSD,2016,BGGN,1
DCSD,2016,BRTH,1
DCSD,2016,CEDW,1
DCSD,2016,CHSP,4
DCSD,2016,COYE,0.25
DCSD,2016,EAKI,2
DCSD,2016,EATO,1
DCSD,2016,FISP,7
DCSD,2016,HOWR,8
DCSD,2016,RWBL,3
DCSD,2016,SOSP,0.5
DCSD,2016,YWAR,6
DCSD,2021,BCCH,1.5
DCSD,2021,BGGN,1
DCSD,2021,BRTH,1
DCSD,2021,CHSP,4.5
DCSD,2021,EAKI,0.5
DCSD,2021,EATO,1
DCSD,2021,EWPW,0.5
DCSD,2021,FISP,14.5
DCSD,2021,HOWR,5.5
DCSD,2021,RWBL,2.5
DCSD,2021,TRES,0.5
DCSD,2021,YWAR,3
IDSS,1991,BOBO,1
IDSS,1991,CHSP,5
IDSS,1991,EAKI,3
IDSS,1991,EUST,5
IDSS,1991,KILL,3
IDSS,1991,MALL,1
IDSS,1991,NOMO,2
IDSS,1991,RWBL,2.5
IDSS,1991,SOSP,5
IDSS,1991,TRES,6
IDSS,1993,AMRO,1
IDSS,1993,BRTH,3
IDSS,1993,CHSP,4
IDSS,1993,COGR,3
IDSS,1993,EAKI,3.5
IDSS,1993,EUST,2.5
IDSS,1993,FISP,2
IDSS,1993,KILL,2
IDSS,1993,RWBL,9
IDSS,1993,SOSP,4
IDSS,1993,SPSA,1
IDSS,1993,TRES,14.5
IDSS,1995,BHCO,2
IDSS,1995,CHSP,5
IDSS,1995,COGR,1
IDSS,1995,EAKI,2
IDSS,1995,EUST,6
IDSS,1995,FISP,3
IDSS,1995,HOWR,2.5
IDSS,1995,KILL,2
IDSS,1995,NRWS,2
IDSS,1995,RWBL,2
IDSS,1995,SOSP,5.5
IDSS,1995,SPSA,2
IDSS,1995,TRES,22
IDSS,1997,BHCO,1
IDSS,1997,BRTH,1
IDSS,1997,CHSP,4
IDSS,1997,EAKI,1.5
IDSS,1997,EUST,1
IDSS,1997,FISP,5
IDSS,1997,HOWR,1.5
IDSS,1997,KILL,1
IDSS,1997,NOMO,1
IDSS,1997,RWBL,10
IDSS,1997,SOSP,6
IDSS,1997,SPSA,1
IDSS,1997,TRES,19
IDSS,2003,BHCO,1
IDSS,2003,BRTH,5
IDSS,2003,CHSP,6
IDSS,2003,COGR,2
IDSS,2003,COYE,0.5
IDSS,2003,EAKI,3
IDSS,2003,EUST,2
IDSS,2003,HOWR,1
IDSS,2003,KILL,5
IDSS,2003,MODO,2
IDSS,2003,NOMO,2.5
IDSS,2003,RWBL,1
IDSS,2003,SOSP,3
IDSS,2003,TRES,10.5
IDSS,2003,WAVI,2
IDSS,2003,YWAR,0.5
IDSS,2004,BRTH,2
IDSS,2004,CHSP,7
IDSS,2004,COGR,2
IDSS,2004,EAKI,2.5
IDSS,2004,EUST,1
IDSS,2004,EWPW,1
IDSS,2004,FISP,2
IDSS,2004,HOWR,2
IDSS,2004,KILL,2
IDSS,2004,MODO,2
IDSS,2004,NOMO,2
IDSS,2004,TRES,10.5
IDSS,2006,BRTH,2.5
IDSS,2006,CHSP,5
IDSS,2006,COGR,2.5
IDSS,2006,EAKI,2.5
IDSS,2006,FISP,4
IDSS,2006,GRCA,1
IDSS,2006,HOWR,2
IDSS,2006,MODO,2
IDSS,2006,NOMO,2.5
IDSS,2006,RWBL,1.5
IDSS,2006,TRES,9.5
IDSS,2008,AMRO,1.5
IDSS,2008,AMWO,1
IDSS,2008,BRTH,2
IDSS,2008,CHSP,5.5
IDSS,2008,COGR,1
IDSS,2008,EAKI,2
IDSS,2008,EUST,2
IDSS,2008,EWPW,1
IDSS,2008,FISP,5
IDSS,2008,GRCA,2
IDSS,2008,HOWR,3
IDSS,2008,KILL,2
IDSS,2008,NOMO,1
IDSS,2008,RWBL,4
IDSS,2008,SOSP,1.5
IDSS,2008,TRES,5
IDSS,2008,YBCU,1
IDSS,2011,AMRO,2
IDSS,2011,AMWO,1
IDSS,2011,BHCO,2
IDSS,2011,BRTH,2
IDSS,2011,CHSP,11
IDSS,2011,COYE,1.5
IDSS,2011,EAKI,3
IDSS,2011,FISP,10
IDSS,2011,GRCA,3
IDSS,2011,HOWR,3
IDSS,2011,NOMO,2
IDSS,2011,RWBL,4
IDSS,2011,SOSP,5
IDSS,2011,TRES,5
IDSS,2011,WISN,0.5
IDSS,2011,YWAR,7
IDSS,2012,BHCO,2
IDSS,2012,BOBO,1
IDSS,2012,BRTH,2
IDSS,2012,CEDW,2
IDSS,2012,CHSP,7
IDSS,2012,EAKI,3
IDSS,2012,EWPW,1
IDSS,2012,FISP,9
IDSS,2012,GCFL,1
IDSS,2012,NOMO,1
IDSS,2012,RWBL,4
IDSS,2012,SOSP,6
IDSS,2012,TRES,5
IDSS,2012,YWAR,6
IDSS,2016,AMWO,2
IDSS,2016,BRTH,2
IDSS,2016,CHSP,7.5
IDSS,2016,COYE,4
IDSS,2016,EAKI,3
IDSS,2016,EATO,1
IDSS,2016,EUST,1
IDSS,2016,FISP,10.5
IDSS,2016,GCFL,1.5
IDSS,2016,GRCA,1
IDSS,2016,HOWR,2
IDSS,2016,NOMO,1.5
IDSS,2016,RWBL,4
IDSS,2016,TRES,6
IDSS,2016,YWAR,1
IDSS,2018,AMRO,1
IDSS,2018,AMWO,1
IDSS,2018,BGGN,1
IDSS,2018,BRTH,3
IDSS,2018,CHSP,7
IDSS,2018,COGR,1
IDSS,2018,EAKI,2
IDSS,2018,EATO,2
IDSS,2018,EUST,1
IDSS,2018,EWPW,1
IDSS,2018,FISP,8
IDSS,2018,MALL,1
IDSS,2018,NOCA,2
IDSS,2018,RWBL,6
IDSS,2018,SOSP,4
IDSS,2018,TRES,1
IDSS,2018,YBCU,0.5
IDSS,2018,YWAR,2
IDSS,2021,AMCR,0.5
IDSS,2021,AMRO,1
IDSS,2021,AMWO,2
IDSS,2021,BCCH,1
IDSS,2021,BRTH,5
IDSS,2021,CHSP,4
IDSS,2021,COGR,4
IDSS,2021,EAKI,2
IDSS,2021,EUST,2
IDSS,2021,EWPW,2
IDSS,2021,FISP,11
IDSS,2021,GRCA,1
IDSS,2021,HOWR,1
IDSS,2021,KILL,1
IDSS,2021,MALL,1
IDSS,2021,MODO,1
IDSS,2021,NOCA,1
IDSS,2021,RWBL,8
IDSS,2021,SOSP,2
IDSS,2021,TRES,1
RARO,1991,AMGO,2
RARO,1991,AMWO,1
RARO,1991,BAOR,6
RARO,1991,BCCH,1.5
RARO,1991,BHCO,3.5
RARO,1991,BLJA,1
RARO,1991,COGR,4.5
RARO,1991,COYE,7
RARO,1991,DOWO,2
RARO,1991,EAKI,5
RARO,1991,EATO,1
RARO,1991,EAWP,9
RARO,1991,EUST,5.5
RARO,1991,FISP,2.5
RARO,1991,GCFL,2
RARO,1991,GHOW,0.25
RARO,1991,GRCA,1
RARO,1991,HAWO,1
RARO,1991,HOWR,11.5
RARO,1991,NOFL,1.5
RARO,1991,REVI,3
RARO,1991,RWBL,18
RARO,1991,SOSP,14
RARO,1991,TRES,7
RARO,1991,WAVI,1
RARO,1991,YWAR,9.5
RARO,1992,AMKE,1
RARO,1992,AMWO,1
RARO,1992,BAOR,4.5
RARO,1992,BHCO,2.5
RARO,1992,BLJA,1
RARO,1992,CARW,0.25
RARO,1992,COGR,5
RARO,1992,COYE,3.5
RARO,1992,DOWO,1
RARO,1992,EAKI,5
RARO,1992,EAWP,5
RARO,1992,EUST,6
RARO,1992,FISP,2
RARO,1992,GCFL,1.5
RARO,1992,HOWR,10
RARO,1992,NOFL,2
RARO,1992,REVI,5.5
RARO,1992,RWBL,11.5
RARO,1992,SOSP,7.5
RARO,1992,TRES,6
RARO,1992,WAVI,1
RARO,1992,WODU,1
RARO,1992,YWAR,5.5
RARO,1996,AMRE,5.5
RARO,1996,BAOR,5.5
RARO,1996,BCCH,0.25
RARO,1996,BGGN,2
RARO,1996,BHCO,1
RARO,1996,BLJA,1
RARO,1996,COGR,3
RARO,1996,COYE,9.5
RARO,1996,EAKI,5.5
RARO,1996,EATO,1
RARO,1996,EAWP,5.5
RARO,1996,EUST,2
RARO,1996,EWPW,1
RARO,1996,FISP,0.5
RARO,1996,GCFL,1
RARO,1996,GRCA,1
RARO,1996,HOWR,13.5
RARO,1996,INBU,0.5
RARO,1996,MODO,4
RARO,1996,NOFL,1
RARO,1996,RBWO,0.25
RARO,1996,REVI,4
RARO,1996,RTHU,1
RARO,1996,RWBL,14
RARO,1996,SOSP,7
RARO,1996,TRES,8
RARO,1996,WAVI,5
RARO,1996,WBNU,1
RARO,1996,YBCU,1
RARO,1996,YWAR,9.5
RARO,1999,AMWO,2
RARO,1999,BAOR,10.5
RARO,1999,BCCH,1
RARO,1999,BGGN,2
RARO,1999,BHCO,1.5
RARO,1999,COGR,3
RARO,1999,COYE,7
RARO,1999,EAKI,6.5
RARO,1999,EATO,1
RARO,1999,EAWP,7.5
RARO,1999,EWPW,5
RARO,1999,FISP,1
RARO,1999,GCFL,3
RARO,1999,GRCA,2
RARO,1999,HOWR,7.5
RARO,1999,LEFL,0.5
RARO,1999,NOFL,3
RARO,1999,RBWO,1
RARO,1999,REVI,6.5
RARO,1999,RTHA,0.5
RARO,1999,RWBL,18
RARO,1999,SOSP,5.5
RARO,1999,TRES,10
RARO,1999,WAVI,4
RARO,1999,YWAR,8.5
RARO,2001,AMWO,2
RARO,2001,BAOR,7
RARO,2001,BHCO,2
RARO,2001,BLJA,2
RARO,2001,COGR,1
RARO,2001,COYE,6
RARO,2001,DOWO,2
RARO,2001,EAKI,5.5
RARO,2001,EATO,2
RARO,2001,EAWP,7
RARO,2001,EUST,2.5
RARO,2001,FISP,4.5
RARO,2001,GRCA,2
RARO,2001,HOWR,19
RARO,2001,NOFL,1.5
RARO,2001,REVI,2
RARO,2001,RWBL,10
RARO,2001,SOSP,7
RARO,2001,TRES,6
RARO,2001,WAVI,2
RARO,2001,YBCU,1
RARO,2001,YWAR,4
RARO,2008,AMWO,1
RARO,2008,BAOR,4.5
RARO,2008,BCCH,1
RARO,2008,BGGN,3
RARO,2008,BHCO,2
RARO,2008,BLJA,1
RARO,2008,CEDW,1
RARO,2008,COGR,1
RARO,2008,COYE,4.5
RARO,2008,DOWO,2
RARO,2008,EAKI,1
RARO,2008,EATO,1
RARO,2008,EAWP,4.5
RARO,2008,EUST,1
RARO,2008,EWPW,1
RARO,2008,FISP,3
RARO,2008,GCFL,1
RARO,2008,GRCA,3
RARO,2008,HOWR,10
RARO,2008,INBU,1
RARO,2008,NOFL,1
RARO,2008,OROR,2
RARO,2008,REVI,1
RARO,2008,RWBL,6
RARO,2008,SOSP,2
RARO,2008,TRES,4
RARO,2008,WAVI,3
RARO,2008,YWAR,18
RARO,2010,AMWO,2
RARO,2010,BAOR,5
RARO,2010,BCCH,2
RARO,2010,BGGN,1
RARO,2010,BHCO,1
RARO,2010,COGR,2
RARO,2010,COYE,12.5
RARO,2010,DOWO,2
RARO,2010,EAKI,3
RARO,2010,EATO,3
RARO,2010,EAWP,5
RARO,2010,EUST,4
RARO,2010,EWPW,1.5
RARO,2010,FISP,5
RARO,2010,GCFL,2
RARO,2010,GRCA,3
RARO,2010,HOWR,11.5
RARO,2010,INBU,3.5
RARO,2010,LEFL,3
RARO,2010,MODO,2
RARO,2010,NOCA,2
RARO,2010,NOFL,1
RARO,2010,OROR,4
RARO,2010,REVI,4
RARO,2010,RWBL,12
RARO,2010,SOSP,9
RARO,2010,TRES,6
RARO,2010,WAVI,4
RARO,2010,YWAR,29
RARO,2016,BANS,1
RARO,2016,BAOR,3
RARO,2016,BGGN,1
RARO,2016,BHCO,1
RARO,2016,BLJA,1
RARO,2016,COGR,1
RARO,2016,COYE,10
RARO,2016,DOWO,1
RARO,2016,EAKI,5
RARO,2016,EASO,1
RARO,2016,EATO,4
RARO,2016,EAWP,6
RARO,2016,EUST,2
RARO,2016,EWPW,2
RARO,2016,FISP,4
RARO,2016,GCFL,3
RARO,2016,GRCA,5
RARO,2016,HOWR,8
RARO,2016,INBU,3
RARO,2016,MODO,1
RARO,2016,NOCA,1
RARO,2016,NOFL,1
RARO,2016,OROR,2
RARO,2016,RBWO,1
RARO,2016,REVI,5.5
RARO,2016,RTHU,1
RARO,2016,RWBL,12
RARO,2016,SOSP,1
RARO,2016,SWSP,1
RARO,2016,TRES,5
RARO,2016,WAVI,2
RARO,2016,WBNU,1
RARO,2016,YBCU,2
RARO,2016,YWAR,28
RARO,2017,AMWO,1.5
RARO,2017,BAOR,2
RARO,2017,BBCU,1
RARO,2017,BLJA,1
RARO,2017,COGR,1
RARO,2017,COYE,8
RARO,2017,EAKI,3
RARO,2017,EATO,2
RARO,2017,EAWP,2
RARO,2017,FISP,2.5
RARO,2017,GRCA,3
RARO,2017,HOWR,11
RARO,2017,INBU,1
RARO,2017,NOCA,1
RARO,2017,REVI,3
RARO,2017,RWBL,15
RARO,2017,SWSP,1.5
RARO,2017,TRES,1
RARO,2017,WBNU,1
RARO,2017,YBCU,2
RARO,2017,YWAR,12
RARO,2019,AMRO,1
RARO,2019,AMWO,2
RARO,2019,BAOR,4
RARO,2019,BCCH,1
RARO,2019,BGGN,1
RARO,2019,BRTH,0.25
RARO,2019,CEDW,1
RARO,2019,COGR,2.5
RARO,2019,COYE,14
RARO,2019,DOWO,2
RARO,2019,EAKI,4
RARO,2019,EATO,0.5
RARO,2019,EAWP,4
RARO,2019,EUST,1
RARO,2019,EWPW,2.5
RARO,2019,FISP,2
RARO,2019,GCFL,2
RARO,2019,GRCA,3.5
RARO,2019,HOWR,11
RARO,2019,MODO,2
RARO,2019,NOCA,1
RARO,2019,NOFL,2
RARO,2019,REVI,5.5
RARO,2019,RWBL,22
RARO,2019,SORA,0.25
RARO,2019,SOSP,1
RARO,2019,SWSP,0.5
RARO,2019,TRES,4
RARO,2019,WAVI,4
RARO,2019,WBNU,1
RARO,2019,WODU,0.25
RARO,2019,YWAR,11.5
RARO,2021,AMRE,3
RARO,2021,AMRO,2
RARO,2021,AMWO,1
RARO,2021,BAOR,4
RARO,2021,BCCH,1
RARO,2021,BGGN,1
RARO,2021,BHCO,3
RARO,2021,BLJA,1
RARO,2021,COGR,2
RARO,2021,COYE,11.5
RARO,2021,DOWO,1
RARO,2021,EAKI,3.5
RARO,2021,EASO,1
RARO,2021,EATO,1
RARO,2021,EAWP,4.5
RARO,2021,EUST,1
RARO,2021,EWPW,2
RARO,2021,FISP,2
RARO,2021,GCFL,3
RARO,2021,GRCA,4
RARO,2021,HOWR,20.5
RARO,2021,INBU,2.5
RARO,2021,LEFL,1
RARO,2021,MODO,1.5
RARO,2021,NOCA,1
RARO,2021,REVI,6
RARO,2021,RWBL,16.5
RARO,2021,SOSP,1
RARO,2021,SWSP,0.25
RARO,2021,TRES,5
RARO,2021,WAVI,5
RARO,2021,WBNU,0.5
RARO,2021,WITU,0.5
RARO,2021,YBCU,1
RARO,2021,YWAR,28
ROIS,1991,AMGO,4
ROIS,1991,AMRE,3
ROIS,1991,AMRO,1
ROIS,1991,BAOR,5.5
ROIS,1991,BCCH,3
ROIS,1991,BHCO,3
ROIS,1991,CARW,1
ROIS,1991,CEDW,1
ROIS,1991,COGR,5.5
ROIS,1991,COYE,9
ROIS,1991,DOWO,2.5
ROIS,1991,EAKI,7.5
ROIS,1991,EAWP,14.5
ROIS,1991,EUST,7.5
ROIS,1991,GCFL,2
ROIS,1991,GHOW,1
ROIS,1991,HOWR,12.5
ROIS,1991,LEFL,4
ROIS,1991,NOCA,1
ROIS,1991,NOFL,0.5
ROIS,1991,REVI,2
ROIS,1991,RWBL,28
ROIS,1991,SOSP,19.5
ROIS,1991,SWSP,1
ROIS,1991,TRES,8
ROIS,1991,WAVI,5.5
ROIS,1991,YWAR,11.5
ROIS,1992,AMGO,2
ROIS,1992,AMRE,3
ROIS,1992,AMRO,1
ROIS,1992,BAOR,6.5
ROIS,1992,BHCO,2
ROIS,1992,COGR,5
ROIS,1992,COYE,8.5
ROIS,1992,DOWO,1
ROIS,1992,EAKI,8.5
ROIS,1992,EAWP,9.5
ROIS,1992,EUST,6.5
ROIS,1992,GCFL,3
ROIS,1992,GHOW,0.5
ROIS,1992,HOWR,18
ROIS,1992,LEFL,5
ROIS,1992,MODO,2
ROIS,1992,NOFL,1
ROIS,1992,REVI,3
ROIS,1992,RTHA,1
ROIS,1992,RWBL,24
ROIS,1992,SOSP,14
ROIS,1992,SWSP,2
ROIS,1992,TRES,9
ROIS,1992,WAVI,5
ROIS,1992,YWAR,11.5
ROIS,1996,AMRE,2.5
ROIS,1996,AMWO,1
ROIS,1996,BAOR,3.5
ROIS,1996,COGR,2
ROIS,1996,COYE,14
ROIS,1996,DOWO,1
ROIS,1996,EAKI,3
ROIS,1996,EAWP,9.5
ROIS,1996,EUST,3.5
ROIS,1996,EWPW,1
ROIS,1996,GHOW,0.25
ROIS,1996,GRCA,1
ROIS,1996,HOWR,10
ROIS,1996,LEFL,1
ROIS,1996,MAWR,3
ROIS,1996,NOFL,1
ROIS,1996,REVI,3
ROIS,1996,RWBL,28
ROIS,1996,SOSP,11
ROIS,1996,SWSP,4.5
ROIS,1996,TRES,9
ROIS,1996,WAVI,7
ROIS,1996,YWAR,18
ROIS,2000,AMRE,4
ROIS,2000,AMRO,2
ROIS,2000,AMWO,1
ROIS,2000,BAOR,4
ROIS,2000,BCCH,2
ROIS,2000,BGGN,1
ROIS,2000,BHCO,2
ROIS,2000,BLJA,1
ROIS,2000,COGR,4
ROIS,2000,COYE,13.5
ROIS,2000,DOWO,0.5
ROIS,2000,EAKI,5
ROIS,2000,EAWP,9
ROIS,2000,EUST,3
ROIS,2000,GCFL,3
ROIS,2000,GHOW,0.25
ROIS,2000,GRCA,4
ROIS,2000,HOWR,13.5
ROIS,2000,LEFL,1
ROIS,2000,MODO,2
