unique,sampling_year_yyyy,site_size_ha,site_code_abcd,site_name
1997 ROWB,1997,8.9,ROWB,Red Oak - White Birch Savannah
1997 IDSS,1997,10.9,IDSS,Intergrading Dune - Swale Savannah
1997 ROWP,1997,11.4,ROWP,Red Oak - White Pine Savannah
1997 SRS1,1997,13.6,SRS1,Sedge - Rush Swale #1
1997 SRS2,1997,14.6,SRS2,Sedge - Rush Swale #2
1998 ROMS,1998,7.9,ROMS,Red Oak - Sugar Maple Savannah
1998 WPWC,1998,12.8,WPWC,White Pine - White Cedar Savannah
1998 BGGR,1998,13.7,BGGR,Bluegrass - Milkweed Grassland
1998 STDP,1998,15,STDP,Sedge - Tamarack Dune Pond
1999 ROMS,1999,7.9,ROMS,Red Oak - Sugar Maple Savannah
1999 DCJS,1999,11.3,DCJS,Dry Cottonwood - Juniper Savannah
1999 ROMF,1999,12.5,ROMF,Red Oak - Sugar Maple Forest
1999 RARO,1999,13.1,RARO,Red Ash - Red Oak Savannah
2000 ROIS,2000,9.2,ROIS,Red Oak - Ironwood Savannah
2000 TMSL,2000,11,TMSL,Tamarack Slough
2000 DCJS,2000,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2000 ROMF,2000,12.5,ROMF,Red Oak - Sugar Maple Forest
2001 ROIS,2001,9.2,ROIS,Red Oak - Ironwood Savannah
2001 DCSD,2001,10.2,DCSD,Dry Cottonwood Sand Dune
2001 TMSL,2001,11,TMSL,Tamarack Slough
2001 RARO,2001,13.1,RARO,Red Ash - Red Oak Savannah
2002 ROWB,2002,8.9,ROWB,Red Oak - White Birch Savannah
2002 ROWP,2002,11.4,ROWP,Red Oak - White Pine Savannah
2002 WPWC,2002,12.8,WPWC,White Pine - White Cedar Savannah
2002 SRS1,2002,13.6,SRS1,Sedge - Rush Swale #1
2002 SRS2,2002,14.6,SRS2,Sedge - Rush Swale #2
2003 IDSS,2003,10.9,IDSS,Intergrading Dune - Swale Savannah
2003 WPWC,2003,12.8,WPWC,White Pine - White Cedar Savannah
2003 BGGR,2003,13.7,BGGR,Bluegrass - Milkweed Grassland
2003 STDP,2003,15,STDP,Sedge - Tamarack Dune Pond
2004 ROMS,2004,7.9,ROMS,Red Oak - Sugar Maple Savannah
2004 IDSS,2004,10.9,IDSS,Intergrading Dune - Swale Savannah
2004 DCJS,2004,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2004 ROMF,2004,12.5,ROMF,Red Oak - Sugar Maple Forest
2005 ROMS,2005,7.9,ROMS,Red Oak - Sugar Maple Savannah
2005 ROIS,2005,9.2,ROIS,Red Oak - Ironwood Savannah
2005 TMSL,2005,11,TMSL,Tamarack Slough
2006 IDSS,2006,10.9,IDSS,Intergrading Dune - Swale Savannah
2006 STDP,2006,15,STDP,Sedge - Tamarack Dune Pond
2007 WPWC,2007,12.8,WPWC,White Pine - White Cedar Savannah
2007 SRS1,2007,13.6,SRS1,Sedge - Rush Swale #1
2007 SRS2,2007,14.6,SRS2,Sedge - Rush Swale #2
2008 ROWB,2008,8.9,ROWB,Red Oak - White Birch Savannah
2008 DCSD,2008,10.2,DCSD,Dry Cottonwood Sand Dune
2008 IDSS,2008,10.9,IDSS,Intergrading Dune - Swale Savannah
2008 ROWP,2008,11.4,ROWP,Red Oak - White Pine Savannah
2008 RARO,2008,13.1,RARO,Red Ash - Red Oak Savannah
2008 BGGR,2008,13.7,BGGR,Bluegrass - Milkweed Grassland
2009 ROMS,2009,7.9,ROMS,Red Oak - Sugar Maple Savannah
2009 ROIS,2009,9.2,ROIS,Red Oak - Ironwood Savannah
2009 TMSL,2009,11,TMSL,Tamarack Slough
2009 DCJS,2009,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2009 ROMF,2009,12.5,ROMF,Red Oak - Sugar Maple Forest
2009 STDP,2009,15,STDP,Sedge - Tamarack Dune Pond
2010 ROMS,2010,7.9,ROMS,Red Oak - Sugar Maple Savannah
2010 ROIS,2010,9.2,ROIS,Red Oak - Ironwood Savannah
2010 DCJS,2010,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2010 ROMF,2010,12.5,ROMF,Red Oak - Sugar Maple Forest
