sp_code,sp_common_name_text_format_nhic,sp_scientific_name_NHIC,hab_guild,food_item,nest_guild,forage_behavior,cons_status,bird_S_rank,bird_SARO_status,bird_COSEWIC_status,bird_SARA_status,bird_exotic_status,order,family,genus,coeff_wetness,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,food_foraging_guild_degraaf_2,habitat_foraging_guild_degraaf_2,behaviour_foraging_guild_degraaf_2,food_foraging_guild_degraaf_3,habitat_foraging_guild_degraaf_3,behaviour_foraging_guild_degraaf_3,(g),",+/- SD", N  ,,(g),Month(s),Full Literature Citation,N,,(g),(+/- sd),N
BRTH,brown thrasher,Toxostoma rufum,scrub,omnivore,shrub,ground forager,low concern,S4B,,,,,Passeriformes,Mimidae,Toxostoma,,Omnivore,ground,forager,,lower-canopy,forager,,,,,,,,,,,,,,,
BHCO,brown-headed cowbird,Molothrus ater,grasslands,seeds,tree,ground forager,low concern,S5,,,,,Passeriformes,Icteridae,Molothrus,,Omnivore,ground,forager,,,,,,,46,6,2944,0,ASY males 48.9(g)   SY males 47.1(g)      AHY females 37.6(g)      ,0,"Lowther, P. E. (1993). Brown-headed Cowbird (Molothrus ater), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.47 ",ASY males n=23            SY males n=24      AHY females n=352,0,46,6,2944
BWTE,blue-winged teal,,marshes,omnivore,ground,dabbler,low concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAGO,Canada goose,Branta canadensis,marshes,seeds,ground,ground forager,low concern,S5,,,,,Anseriformes,Anatidae,Branta,W,Herbivore,water,dabbler,,,,,,,0,0,0,0," (10-24 Nov) to late winter (23 Dec-6 Jan); adult males, 3,490.0 g ± 274 SD (n = 29) to 3,882.0 g ± 293 SD (n = 20), and adult females 2,948.0 g ± 189 SD (n = 17) to 3,251.0 g ± 201 SD (n = 21);","Nov, Dec-Jan.","Mowbray, T. B., C. R. Ely, J. S. Sedinger, and R. E. Trost (2002). Canada Goose (Branta canadensis), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.cangoo.02",Adult males n=29.        Adult females n=17,0,3393,0,87
CAWA,Canada warbler,Cardellina canadensis,forests,insects,ground,foliage gleaner,declining,S5B,SC,SC,Threatened/Menacée,,Passeriformes,Parulidae,Cardellina,,Insectivore,lower-canopy,gleaner,,,,,,,,,,,,,,,,,,
CARW,Carolina wren,Thryothorus ludovicianus,open woodlands,insects,cavity,ground forager,low concern,S4,,,,,Passeriformes,Troglodytidae,Thryothorus,,Insectwore,lower-canopy,gleaner,,,,,,,19,2,131,0,Males 21.2+/-1.3 (g). Females 18.7+/-5.1(g),All months,"Haggerty, T. M. and E. S. Morton (2014). Carolina Wren (Thryothorus ludovicianus), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.188 ",Males n=134. Females n=118,0,19,2,131
CEDW,cedar waxwing,Bombycilla cedrorum,open woodlands,fruit,tree,foliage gleaner,low concern,S5,,,,,Passeriformes,Bombycillidae,Bombycilla,,Insectivore,air,sallier,Frugivore,upper-canopy,gleaner,,,,33,3,1580,0,"For a sample of birds from Maine, mean weight of 12 females was 34.4 g ± 0.7 SD, and of 22 males 32.8 g ± 0.7 SD",August ,"Witmer, M. C., D. J. Mountjoy, and L. Elliot (2014). Cedar Waxwing (Bombycilla cedrorum), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.309 ",Females n=12. Males n=22,0,33,3,1580
CSWA,chestnut-sided warbler,Setophaga pensylvanica,open woodlands,insects,shrub,foliage gleaner,low concern,S5B,,,,,Passeriformes,Parulidae,Setophaga,,Insectivore,lower-canopy,gleaner,,,,,,,10,1,3367,0,"fall migrants in Georgia: adult male 12.8 g (range 12–14.3, n = 5); adult female 12.0 g (10.7–13.9, n = 7), immature male 13.1 g (12.4–14, n = 5), immature female 12.3 g (10.2–13.5, n = 11)",August-November,"Byers, B. E., M. Richardson, and D. W. Brauning (2013). Chestnut-sided Warbler (Setophaga pensylvanica), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.190","Adult males n=5, adult females n=7, immature males n=5, immature females n=11",0,10,1,3367
CHSW,chimney swift,Chaetura pelagica,towns,insects,building,aerial forager,declining,S3B,THR,THR,Threatened/Menacée,,Apodiformes,Apodidae,Chaetura,,Insectivore,air,screener,,,,,,,23,2,8,0," On breeding grounds in Illinois, adult mass averages 23.6 g ± 0.3 SD (range 17.0–29.8, n = 1,805).",0,"Steeves, T. K., S. B. Kearney-McGee, M. A. Rubega, C. L. Cink, and C. T. Collins (2014). Chimney Swift (Chaetura pelagica), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.646 ",n=1805,0,23,2,8
CHSP,chipping sparrow,Spizella passerina,open woodlands,seeds,shrub,ground forager,low concern,"S5B,S3N",,,,,Passeriformes,Passerellidae,Spizella,,Omnivore,ground,forage,,,,,,,12,1,5006,0,"Mean mass of males at Guelph, ON: in May, 12.1 g ± 0.55 SD (range 11.5-13.5, n = 29); Jun, 12.0 g ± 0.69 SD (range 11.0-13.0, n = 11). Of females: in May, 13.4 g ± 1.09 SD (range 11.5-15.5, n = 23); Jun, 12.3 g ± 0.53 SD (range 11.5-13.0, n = 8)",May-June,"Middleton, A. L. (1998). Chipping Sparrow (Spizella passerina), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.334 ","Males in May n=29, males in Jun n=11.         Females in May n=23, Jun n=8.",0,12,1,5006
