uniqueID,sample,year,sitecode,species_4code_IBP,territories
1991_DCJS_BTNW,1991_DCJS,1991,DCJS,BTNW,0
1991_DCJS_CANG,1991_DCJS,1991,DCJS,CANG,0
1991_DCJS_CARW,1991_DCJS,1991,DCJS,CARW,0
1991_DCJS_CAWA,1991_DCJS,1991,DCJS,CAWA,0
1991_DCJS_CEDW,1991_DCJS,1991,DCJS,CEDW,0
1991_DCJS_CHSP,1991_DCJS,1991,DCJS,CHSP,5.5
1991_DCJS_CHSW,1991_DCJS,1991,DCJS,CHSW,0
1991_DCJS_COGR,1991_DCJS,1991,DCJS,COGR,0
1991_DCJS_COHA,1991_DCJS,1991,DCJS,COHA,0
1991_DCJS_CONI,1991_DCJS,1991,DCJS,CONI,0
1991_DCJS_COYE,1991_DCJS,1991,DCJS,COYE,0
1991_DCJS_CSWA,1991_DCJS,1991,DCJS,CSWA,0
1991_DCJS_CWWI,1991_DCJS,1991,DCJS,CWWI,0
1991_DCJS_DOWO,1991_DCJS,1991,DCJS,DOWO,0
1991_DCJS_EABL,1991_DCJS,1991,DCJS,EABL,0
1991_DCJS_EAKI,1991_DCJS,1991,DCJS,EAKI,0
1991_DCJS_EAME,1991_DCJS,1991,DCJS,EAME,0
1991_DCJS_EAPH,1991_DCJS,1991,DCJS,EAPH,0
1991_DCJS_EASO,1991_DCJS,1991,DCJS,EASO,0
1991_DCJS_EATO,1991_DCJS,1991,DCJS,EATO,0
1991_DCJS_EAWP,1991_DCJS,1991,DCJS,EAWP,0
1991_DCJS_EUST,1991_DCJS,1991,DCJS,EUST,2
1991_DCJS_EWPW,1991_DCJS,1991,DCJS,EWPW,0
1991_DCJS_FISP,1991_DCJS,1991,DCJS,FISP,1
1991_DCJS_GCFL,1991_DCJS,1991,DCJS,GCFL,0
1991_DCJS_GHOW,1991_DCJS,1991,DCJS,GHOW,0
1991_DCJS_GRCA,1991_DCJS,1991,DCJS,GRCA,0
1991_DCJS_GRHE,1991_DCJS,1991,DCJS,GRHE,0
1991_DCJS_HAWO,1991_DCJS,1991,DCJS,HAWO,0
1991_DCJS_HOFI,1991_DCJS,1991,DCJS,HOFI,0
1991_DCJS_HOME,1991_DCJS,1991,DCJS,HOME,0
1991_DCJS_INBU,1991_DCJS,1991,DCJS,INBU,0
1991_DCJS_KILL,1991_DCJS,1991,DCJS,KILL,0
1991_DCJS_LEBI,1991_DCJS,1991,DCJS,LEBI,0
1991_DCJS_LEFL,1991_DCJS,1991,DCJS,LEFL,0
1991_DCJS_MALL,1991_DCJS,1991,DCJS,MALL,0
1991_DCJS_MAWA,1991_DCJS,1991,DCJS,MAWA,0
1991_DCJS_MAWR,1991_DCJS,1991,DCJS,MAWR,0
1991_DCJS_MODO,1991_DCJS,1991,DCJS,MODO,0
1991_DCJS_NHWR,1991_DCJS,1991,DCJS,NHWR,4.5
1991_DCJS_NOCA,1991_DCJS,1991,DCJS,NOCA,0
1991_DCJS_NOFL,1991_DCJS,1991,DCJS,NOFL,1
1991_DCJS_NOMO,1991_DCJS,1991,DCJS,NOMO,1
1991_DCJS_NRWS,1991_DCJS,1991,DCJS,NRWS,0
1991_DCJS_NSWO,1991_DCJS,1991,DCJS,NSWO,0
1991_DCJS_OROR,1991_DCJS,1991,DCJS,OROR,0
1991_DCJS_PBGR,1991_DCJS,1991,DCJS,PBGR,0
1991_DCJS_PIWA,1991_DCJS,1991,DCJS,PIWA,0
1991_DCJS_PROW,1991_DCJS,1991,DCJS,PROW,0
1991_DCJS_RBGR,1991_DCJS,1991,DCJS,RBGR,0
1991_DCJS_RBNU,1991_DCJS,1991,DCJS,RBNU,0
1991_DCJS_RBWO,1991_DCJS,1991,DCJS,RBWO,0
1991_DCJS_REVI,1991_DCJS,1991,DCJS,REVI,0
1991_DCJS_RHWO,1991_DCJS,1991,DCJS,RHWO,0
1991_DCJS_RTHA,1991_DCJS,1991,DCJS,RTHA,0
1991_DCJS_RTHU,1991_DCJS,1991,DCJS,RTHU,0
1991_DCJS_RWBL,1991_DCJS,1991,DCJS,RWBL,1
1991_DCJS_SCTA,1991_DCJS,1991,DCJS,SCTA,0
1991_DCJS_SORA,1991_DCJS,1991,DCJS,SORA,0
1991_DCJS_SOSP,1991_DCJS,1991,DCJS,SOSP,3
1991_DCJS_SPSA,1991_DCJS,1991,DCJS,SPSA,0
1991_DCJS_SSHA,1991_DCJS,1991,DCJS,SSHA,0
1991_DCJS_SWSP,1991_DCJS,1991,DCJS,SWSP,0
1991_DCJS_TRES,1991_DCJS,1991,DCJS,TRES,6
1991_DCJS_VEER,1991_DCJS,1991,DCJS,VEER,0
1991_DCJS_VIRA,1991_DCJS,1991,DCJS,VIRA,0
1991_DCJS_WAVI,1991_DCJS,1991,DCJS,WAVI,0
1991_DCJS_WBNU,1991_DCJS,1991,DCJS,WBNU,0
1991_DCJS_WEVI,1991_DCJS,1991,DCJS,WEVI,0
1991_DCJS_WIFL,1991_DCJS,1991,DCJS,WIFL,0
1991_DCJS_WISN,1991_DCJS,1991,DCJS,WISN,0
1991_DCJS_WITU,1991_DCJS,1991,DCJS,WITU,0
1991_DCJS_WIWR,1991_DCJS,1991,DCJS,WIWR,0
1991_DCJS_WODU,1991_DCJS,1991,DCJS,WODU,0
1991_DCJS_WTSP,1991_DCJS,1991,DCJS,WTSP,0
1991_DCJS_YBCU,1991_DCJS,1991,DCJS,YBCU,0
1991_DCJS_YEWA,1991_DCJS,1991,DCJS,YEWA,0
1991_DCJS_YTVI,1991_DCJS,1991,DCJS,YTVI,0
1991_DCSD_ABDU,1991_DCSD,1991,DCSD,ABDU,0
1991_DCSD_AGOL,1991_DCSD,1991,DCSD,AGOL,0
1991_DCSD_AGOS,1991_DCSD,1991,DCSD,AGOS,0
1991_DCSD_AMBI,1991_DCSD,1991,DCSD,AMBI,0
1991_DCSD_AMCR,1991_DCSD,1991,DCSD,AMCR,0
1991_DCSD_AMKE,1991_DCSD,1991,DCSD,AMKE,0
1991_DCSD_AMRE,1991_DCSD,1991,DCSD,AMRE,0
1991_DCSD_AMRO,1991_DCSD,1991,DCSD,AMRO,0
1991_DCSD_AMWO,1991_DCSD,1991,DCSD,AMWO,0
1991_DCSD_BAEA,1991_DCSD,1991,DCSD,BAEA,0
1991_DCSD_BANS,1991_DCSD,1991,DCSD,BANS,0
1991_DCSD_BAOR,1991_DCSD,1991,DCSD,BAOR,0.5
1991_DCSD_BBCU,1991_DCSD,1991,DCSD,BBCU,0
1991_DCSD_BCCH,1991_DCSD,1991,DCSD,BCCH,0
1991_DCSD_BEKI,1991_DCSD,1991,DCSD,BEKI,0
1991_DCSD_BGGN,1991_DCSD,1991,DCSD,BGGN,0
1991_DCSD_BHCO,1991_DCSD,1991,DCSD,BHCO,0
1991_DCSD_BLBW,1991_DCSD,1991,DCSD,BLBW,0
1991_DCSD_BLJA,1991_DCSD,1991,DCSD,BLJA,0
1991_DCSD_BOBO,1991_DCSD,1991,DCSD,BOBO,0
1991_DCSD_BRCR,1991_DCSD,1991,DCSD,BRCR,0
1991_DCSD_BRTH,1991_DCSD,1991,DCSD,BRTH,0
1991_DCSD_BTNW,1991_DCSD,1991,DCSD,BTNW,0
1991_DCSD_CANG,1991_DCSD,1991,DCSD,CANG,0
1991_DCSD_CARW,1991_DCSD,1991,DCSD,CARW,0
1991_DCSD_CAWA,1991_DCSD,1991,DCSD,CAWA,0
1991_DCSD_CEDW,1991_DCSD,1991,DCSD,CEDW,0
1991_DCSD_CHSP,1991_DCSD,1991,DCSD,CHSP,2
1991_DCSD_CHSW,1991_DCSD,1991,DCSD,CHSW,0
1991_DCSD_COGR,1991_DCSD,1991,DCSD,COGR,0
1991_DCSD_COHA,1991_DCSD,1991,DCSD,COHA,0
1991_DCSD_CONI,1991_DCSD,1991,DCSD,CONI,0
1991_DCSD_COYE,1991_DCSD,1991,DCSD,COYE,0
1991_DCSD_CSWA,1991_DCSD,1991,DCSD,CSWA,0
1991_DCSD_CWWI,1991_DCSD,1991,DCSD,CWWI,0
1991_DCSD_DOWO,1991_DCSD,1991,DCSD,DOWO,0
1991_DCSD_EABL,1991_DCSD,1991,DCSD,EABL,0
1991_DCSD_EAKI,1991_DCSD,1991,DCSD,EAKI,3.5
1991_DCSD_EAME,1991_DCSD,1991,DCSD,EAME,0
1991_DCSD_EAPH,1991_DCSD,1991,DCSD,EAPH,0
1991_DCSD_EASO,1991_DCSD,1991,DCSD,EASO,0
1991_DCSD_EATO,1991_DCSD,1991,DCSD,EATO,0
1991_DCSD_EAWP,1991_DCSD,1991,DCSD,EAWP,0
1991_DCSD_EUST,1991_DCSD,1991,DCSD,EUST,0
1991_DCSD_EWPW,1991_DCSD,1991,DCSD,EWPW,0
1991_DCSD_FISP,1991_DCSD,1991,DCSD,FISP,1
1991_DCSD_GCFL,1991_DCSD,1991,DCSD,GCFL,0
1991_DCSD_GHOW,1991_DCSD,1991,DCSD,GHOW,0
1991_DCSD_GRCA,1991_DCSD,1991,DCSD,GRCA,0
1991_DCSD_GRHE,1991_DCSD,1991,DCSD,GRHE,0
1991_DCSD_HAWO,1991_DCSD,1991,DCSD,HAWO,0
1991_DCSD_HOFI,1991_DCSD,1991,DCSD,HOFI,0
1991_DCSD_HOME,1991_DCSD,1991,DCSD,HOME,0
1991_DCSD_INBU,1991_DCSD,1991,DCSD,INBU,0
1991_DCSD_KILL,1991_DCSD,1991,DCSD,KILL,0
1991_DCSD_LEBI,1991_DCSD,1991,DCSD,LEBI,0
1991_DCSD_LEFL,1991_DCSD,1991,DCSD,LEFL,0
1991_DCSD_MALL,1991_DCSD,1991,DCSD,MALL,0
1991_DCSD_MAWA,1991_DCSD,1991,DCSD,MAWA,0
1991_DCSD_MAWR,1991_DCSD,1991,DCSD,MAWR,0
1991_DCSD_MODO,1991_DCSD,1991,DCSD,MODO,0
1991_DCSD_NHWR,1991_DCSD,1991,DCSD,NHWR,1
1991_DCSD_NOCA,1991_DCSD,1991,DCSD,NOCA,0
1991_DCSD_NOFL,1991_DCSD,1991,DCSD,NOFL,0
1991_DCSD_NOMO,1991_DCSD,1991,DCSD,NOMO,0
1991_DCSD_NRWS,1991_DCSD,1991,DCSD,NRWS,0
1991_DCSD_NSWO,1991_DCSD,1991,DCSD,NSWO,0
1991_DCSD_OROR,1991_DCSD,1991,DCSD,OROR,0
1991_DCSD_PBGR,1991_DCSD,1991,DCSD,PBGR,0
1991_DCSD_PIWA,1991_DCSD,1991,DCSD,PIWA,0
1991_DCSD_PROW,1991_DCSD,1991,DCSD,PROW,0
1991_DCSD_RBGR,1991_DCSD,1991,DCSD,RBGR,0
1991_DCSD_RBNU,1991_DCSD,1991,DCSD,RBNU,0
1991_DCSD_RBWO,1991_DCSD,1991,DCSD,RBWO,0
1991_DCSD_REVI,1991_DCSD,1991,DCSD,REVI,0
1991_DCSD_RHWO,1991_DCSD,1991,DCSD,RHWO,0
1991_DCSD_RTHA,1991_DCSD,1991,DCSD,RTHA,0
1991_DCSD_RTHU,1991_DCSD,1991,DCSD,RTHU,0
1991_DCSD_RWBL,1991_DCSD,1991,DCSD,RWBL,4
1991_DCSD_SCTA,1991_DCSD,1991,DCSD,SCTA,0
1991_DCSD_SORA,1991_DCSD,1991,DCSD,SORA,0
1991_DCSD_SOSP,1991_DCSD,1991,DCSD,SOSP,0
1991_DCSD_SPSA,1991_DCSD,1991,DCSD,SPSA,0
1991_DCSD_SSHA,1991_DCSD,1991,DCSD,SSHA,0
1991_DCSD_SWSP,1991_DCSD,1991,DCSD,SWSP,0
1991_DCSD_TRES,1991_DCSD,1991,DCSD,TRES,3.5
1991_DCSD_VEER,1991_DCSD,1991,DCSD,VEER,0
1991_DCSD_VIRA,1991_DCSD,1991,DCSD,VIRA,0
1991_DCSD_WAVI,1991_DCSD,1991,DCSD,WAVI,0
1991_DCSD_WBNU,1991_DCSD,1991,DCSD,WBNU,0
1991_DCSD_WEVI,1991_DCSD,1991,DCSD,WEVI,0
1991_DCSD_WIFL,1991_DCSD,1991,DCSD,WIFL,0
1991_DCSD_WISN,1991_DCSD,1991,DCSD,WISN,0
1991_DCSD_WITU,1991_DCSD,1991,DCSD,WITU,0
1991_DCSD_WIWR,1991_DCSD,1991,DCSD,WIWR,0
1991_DCSD_WODU,1991_DCSD,1991,DCSD,WODU,0
1991_DCSD_WTSP,1991_DCSD,1991,DCSD,WTSP,0
1991_DCSD_YBCU,1991_DCSD,1991,DCSD,YBCU,0
1991_DCSD_YEWA,1991_DCSD,1991,DCSD,YEWA,0
1991_DCSD_YTVI,1991_DCSD,1991,DCSD,YTVI,0
1991_IDSS_ABDU,1991_IDSS,1991,IDSS,ABDU,0
1991_IDSS_AGOL,1991_IDSS,1991,IDSS,AGOL,0
1991_IDSS_AGOS,1991_IDSS,1991,IDSS,AGOS,0
1991_IDSS_AMBI,1991_IDSS,1991,IDSS,AMBI,0
1991_IDSS_AMCR,1991_IDSS,1991,IDSS,AMCR,0
1991_IDSS_AMKE,1991_IDSS,1991,IDSS,AMKE,0
1991_IDSS_AMRE,1991_IDSS,1991,IDSS,AMRE,0
1991_IDSS_AMRO,1991_IDSS,1991,IDSS,AMRO,0
1991_IDSS_AMWO,1991_IDSS,1991,IDSS,AMWO,0
1991_IDSS_BAEA,1991_IDSS,1991,IDSS,BAEA,0
1991_IDSS_BANS,1991_IDSS,1991,IDSS,BANS,0
1991_IDSS_BAOR,1991_IDSS,1991,IDSS,BAOR,0
1991_IDSS_BBCU,1991_IDSS,1991,IDSS,BBCU,0
1991_IDSS_BCCH,1991_IDSS,1991,IDSS,BCCH,0
1991_IDSS_BEKI,1991_IDSS,1991,IDSS,BEKI,0
1991_IDSS_BGGN,1991_IDSS,1991,IDSS,BGGN,0
1991_IDSS_BHCO,1991_IDSS,1991,IDSS,BHCO,0
1991_IDSS_BLBW,1991_IDSS,1991,IDSS,BLBW,0
1991_IDSS_BLJA,1991_IDSS,1991,IDSS,BLJA,0
1991_IDSS_BOBO,1991_IDSS,1991,IDSS,BOBO,1
1991_IDSS_BRCR,1991_IDSS,1991,IDSS,BRCR,0
1991_IDSS_BRTH,1991_IDSS,1991,IDSS,BRTH,0
